fold,best_val_auc,best_epoch,test_acc,test_auc,test_f1,tta_acc,tta_auc,tta_f1,tuned_acc,tuned_f1,threshold,pn_recall,pn_spec
1,0.7496774193548388,9,0.7887323943661971,0.8166666666666667,0.7887323943661971,0.7746478873239436,0.8444444444444444,0.7746031746031746,0.8169014084507042,0.8167560055588644,0.5211936920881272,0.7777777777777778,0.8571428571428571
2,0.8344827586206897,9,0.676056338028169,0.7163461538461539,0.6587251828631138,0.6619718309859155,0.7227564102564104,0.6564516129032258,0.704225352112676,0.7039904705181655,0.4559878021478653,0.8125,0.6153846153846154
3,0.6666666666666666,20,0.6338028169014085,0.75,0.6337301587301587,0.6056338028169014,0.7628205128205128,0.6055555555555556,0.7605633802816901,0.747753396029258,0.5573160648345947,0.59375,0.8974358974358975
4,0.773109243697479,12,0.704225352112676,0.8004769475357711,0.6955278742086992,0.7323943661971831,0.8060413354531002,0.7245252195221564,0.7887323943661971,0.7880597014925372,0.5460192918777466,0.8108108108108109,0.7647058823529411
5,0.8,5,0.6714285714285714,0.74,0.6631094371207364,0.6857142857142857,0.7291666666666667,0.683388157894737,0.7142857142857143,0.7133497133497133,0.49360854625701905,0.575,0.9
